mrna_crosswalk,py_index
ENSG00000176978,1150
ENSG00000198113,1151
ENSG00000187609,1152
ENSG00000181090,1153
ENSG00000067057,1154
ENSG00000165568,1155
ENSG00000178372,1156
ENSG00000134470,1157
ENSG00000134460,1158
ENSG00000232638,1159
ENSG00000107485,1160
ENSG00000223808,1161
ENSG00000065328,1162
ENSG00000086475,1163
ENSG00000151474,1164
ENSG00000152455,1165
ENSG00000148468,1166
ENSG00000165983,1167
ENSG00000148484,1168
ENSG00000229124,1169
ENSG00000165996,1170
ENSG00000099256,1171
ENSG00000136754,1172
ENSG00000095787,1173
ENSG00000216937,1174
ENSG00000108100,1175
ENSG00000177283,1176
ENSG00000229644,1177
ENSG00000148513,1178
ENSG00000234918,1179
ENSG00000235687,1180
ENSG00000165733,1181
ENSG00000169826,1182
ENSG00000243660,1183
ENSG00000196793,1184
ENSG00000107551,1185
ENSG00000165507,1186
ENSG00000165406,1187
ENSG00000172671,1188
ENSG00000204175,1189
ENSG00000128805,1190
ENSG00000196932,1191
ENSG00000108176,1192
ENSG00000204130,1193
ENSG00000138336,1194
ENSG00000099284,1195
ENSG00000198246,1196
ENSG00000122863,1197
ENSG00000107742,1198
ENSG00000168209,1199
ENSG00000122884,1200
ENSG00000156650,1201
ENSG00000156671,1202
ENSG00000151208,1203
ENSG00000108175,1204
ENSG00000133678,1205
ENSG00000122378,1206
ENSG00000148671,1207
ENSG00000148672,1208
ENSG00000122376,1209
ENSG00000107789,1210
ENSG00000171862,1211
ENSG00000165338,1212
ENSG00000119938,1213
ENSG00000107854,1214
ENSG00000198060,1215
ENSG00000119912,1216
ENSG00000138190,1217
ENSG00000108239,1218
ENSG00000119977,1219
ENSG00000155629,1220
ENSG00000165879,1221
ENSG00000171160,1222
ENSG00000155256,1223
ENSG00000014919,1224
ENSG00000119929,1225
ENSG00000107554,1226
ENSG00000119906,1227
ENSG00000055950,1228
ENSG00000166167,1229
ENSG00000156398,1230
ENSG00000166272,1231
ENSG00000166275,1232
ENSG00000107960,1233
ENSG00000148841,1234
ENSG00000214413,1235
ENSG00000108061,1236
ENSG00000165816,1237
ENSG00000151892,1238
ENSG00000225302,1239
ENSG00000187164,1240
ENSG00000165646,1241
ENSG00000165669,1242
ENSG00000188613,1243
ENSG00000165672,1244
